AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
0,,,,,,,,,,,,,,
0.766871668716687,0,,,,,,,,,,,,,
0.742253521126761,0.790593004521594,0,,,,,,,,,,,,
0.664619883040936,0.631018968084418,0.72217692117618,0,,,,,,,,,,,
0.734224318658281,0.537481723873843,0.778992824873771,0.514448857994042,0,,,,,,,,,,
0.870588235294118,0.653418710657695,0.916321458160729,0.876264189886481,0.908879023307436,0,,,,,,,,,
0.812772240679217,0.69364929529694,0.775742829067428,0.706300635309203,0.751155477548633,0.728766855579441,0,,,,,,,,
0.868917018284107,0.83875005838666,0.897842752718845,0.83377748167888,0.870324814903272,0.766418466120625,0.440074575605927,0,,,,,,,
0.490788072417465,0.763035969017837,0.692678756243532,0.645075948657586,0.775613358249443,0.792896072166886,0.660305194966017,0.759671614025155,0,,,,,,
0.856572769953051,0.835992585277966,0.858450704225352,0.819804793674327,0.838823190716627,0.742723004694836,0.485970084070313,0.568437629999405,0.727639532616358,0,,,,,
0.840292819895708,0.908788149253334,0.904825341943357,0.865719804927481,0.893055650160071,0.788766192397537,0.599957622205964,0.587798747886487,0.800002306778468,0.716246334807885,0,,,,
0.793528064146621,0.857781412865675,0.92496006969653,0.824208717670465,0.836816767165921,0.784808975136446,0.624521925768629,0.543201096176432,0.829625177036329,0.731619960311699,0.321960251591053,0,,,
0.961244178310046,0.95294036772703,0.925075670255733,0.962525825541899,0.968436083807228,0.983472271143986,0.904175038627065,0.891838264399471,0.967191283035633,0.892852792068445,0.950444478071535,0.945617356352587,0,,
0.864414889874041,0.805844233236506,0.718051182331481,0.801112740686422,0.832722824333529,0.8803896732854,0.615188131602701,0.576553017852991,0.847173464824868,0.629154810645592,0.63646277976053,0.625534561219093,0.972676770166654,0,
0.96910569105691,0.875792757927579,0.935188365968167,0.865083440308087,0.844880349746894,0.933189861310378,0.700429462766388,0.735597406606977,0.917758902828645,0.744566586510936,0.757424202400869,0.761461738328724,0.857189685669312,0.746955209894087,0
