AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM
0,,,,,,,,,
0.781631816318163,0,,,,,,,,
0.74045584045584,0.817800485697165,0,,,,,,,
0.666141732283465,0.686127333714282,0.726338694842631,0,,,,,,
0.734224318658281,0.555072060154564,0.797266569908079,0.59285230855577,0,,,,,
0.968152866242038,0.74653912144217,0.964469123704793,0.948030381552624,0.96768116812883,0,,,,
0.881218399309409,0.721232251168239,0.858817837730157,0.812791852738718,0.814622641509434,0.789271651455919,0,,,
0.95843203609701,0.874735422481128,0.951776649746193,0.897013825048519,0.914984196916004,0.875634517766497,0.48790120396401,0,,
0.896062992125984,0.84326059796031,0.8474998317518,0.81846019247594,0.840651463378398,0.894503234866342,0.770840798063394,0.896039010352132,0,
0.963465510119785,0.867684513276359,0.93110496827969,0.91434527933079,0.937649341843773,0.867062881317137,0.558425376182597,0.598987916643078,0.893056815853409,0
