Member,Sample ID,Axis 1,Axis 2
SM,AP SM 07MPYB3,38,106
SM,HB SM CG 1:3,110,108
SM,AP SM 07CWEB1,45,103
SM,230723XBCG,77,158
SM,HB SM CG 3:1,0,218
RM,NS CG1 RM,156,0
RM,71LW75,208,296
RM,NSFW-01RM220620,266,234
RM,PBDB RM,144,399
RM,ET RM,284,216
MH,HGMH3-1(MH),215,104
MH,HGMH3-2,247,121
MH,RCMB091723,400,210
MH,ET MH,162,35
MH,70LW1 (Rice's Pit),325,145
