Assemblage,m,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
NSCG1RM,1,Rarefaction,0,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.16454352441604891,0.12828852130664742,0.2007985275254504
NSCG1RM,11,Rarefaction,0,6.030036455089235,5.4838430987477516,6.576229811430718,0.7000243290542363,0.6505509211234162,0.7494977369850564
NSCG1RM,21,Rarefaction,0,8.509158940275201,7.583454876954065,9.434863003596337,0.7974327892216819,0.7625730389273752,0.8322925395159887
NSCG1RM,31,Rarefaction,0,10.30644308384466,9.115991042336669,11.496895125352653,0.8441868740443894,0.8147704681321182,0.87360327995666065
NSCG1RM,41,Rarefaction,0,11.71244209057339,10.30933624105432,13.11554794009246,0.8761386158520901,0.8495417892301594,0.9027354424740207
NSCG1RM,51,Rarefaction,0,12.838871462569,11.251144155740706,14.426598769397293,0.8998273796915532,0.8752517748417352,0.9244029845413713
NSCG1RM,61,Rarefaction,0,13.756030342863932,12.00200871684379,15.510051968884074,0.9177165293279023,0.8947039219449248,0.9407291367108798
NSCG1RM,71,Rarefaction,0,14.514513064349812,12.607531527114105,16.42149460158552,0.9313501436800351,0.9095317032914072,0.953168584068663
NSCG1RM,81,Rarefaction,0,15.151595383750104,13.101699154676913,17.201491612823297,0.9418376340986324,0.9208980915237422,0.9627771766735226
NSCG1RM,91,Rarefaction,0,15.694877436019281,13.509590013113947,17.880164858924616,0.9499906286124953,0.9296628296706507,0.9703184275543398
NSCG1RM,101,Rarefaction,0,16.164882364341196,13.84965364233862,18.480111086343772,0.9564017786418425,0.9364614570774937,0.9763421002061913
NSCG1RM,111,Rarefaction,0,16.57697973182533,14.135502095512171,19.01845736813849,0.9615006397821355,0.941758263169064,0.9812430163952071
NSCG1RM,121,Rarefaction,0,16.942823314710466,14.377272046572468,19.508374582848464,0.9655942525658893,0.9458856204368914,0.9853028846948871
NSCG1RM,131,Rarefaction,0,17.271434561269984,14.58264944343701,19.96021967910296,0.968897034675064,0.9490741257172212,0.9887199436329069
NSCG1RM,141,Rarefaction,0,17.57002135986,14.75763522491954,20.38240749480046,0.971553668004489,0.9514760557850307,0.9916312802239472
NSCG1RM,151,Rarefaction,0,17.844588524278326,14.907104471375103,20.782072577181548,0.9736578673459149,0.9531841347234274,0.9941315999684023
NSCG1RM,156,Rarefaction,0,17.974522292993637,14.973582976111974,20.9754616098753,0.9745222929936306,0.9537946109775146,0.9952499750097465
NSCG1RM,157,Observed,0,18,14.986279341043835,21.013720658956167,0.9746845713822062,0.9538632348627211,0.9955059079016914
NSCG1RM,1,Rarefaction,1,1,1,1,0.16454352441604891,0.12828852130664742,0.2007985275254504
NSCG1RM,11,Rarefaction,1,5.003447364564577,4.432862085668969,5.5740326434601855,0.7000243290542363,0.6505509211234162,0.7494977369850564
NSCG1RM,21,Rarefaction,1,6.293359579734586,5.410729163888134,7.1759899955810384,0.7974327892216819,0.7625730389273752,0.8322925395159887
NSCG1RM,31,Rarefaction,1,6.992133454002547,5.932218299080143,8.05204860892495,0.8441868740443894,0.8147704681321182,0.87360327995666065
NSCG1RM,41,Rarefaction,1,7.442694012017658,6.267992541590963,8.617395482444355,0.8761386158520901,0.8495417892301594,0.9027354424740207
NSCG1RM,51,Rarefaction,1,7.759099219330864,6.503937990958469,9.014260447703258,0.8998273796915532,0.8752517748417352,0.9244029845413713
NSCG1RM,61,Rarefaction,1,7.993436901225299,6.678756952808285,9.308116849642312,0.9177165293279023,0.8947039219449248,0.9407291367108798
NSCG1RM,71,Rarefaction,1,8.173726036271345,6.8132410661496765,9.534211006393015,0.9313501436800351,0.9095317032914072,0.953168584068663
NSCG1RM,81,Rarefaction,1,8.316564267457673,6.919733797790854,9.713394737124492,0.9418376340986324,0.9208980915237422,0.9627771766735226
NSCG1RM,91,Rarefaction,1,8.43243747728733,7.006054627553033,9.858820327021627,0.9499906286124953,0.9296628296706507,0.9703184275543398
NSCG1RM,101,Rarefaction,1,8.528290973968511,7.077394452995774,9.979187494941248,0.9564017786418425,0.9364614570774937,0.9763421002061913
NSCG1RM,111,Rarefaction,1,8.608898942980266,7.137327006593436,10.080470879367097,0.9615006397821355,0.941758263169064,0.9812430163952071
NSCG1RM,121,Rarefaction,1,8.677645510202368,7.188387909371803,10.166903111032932,0.9655942525658893,0.9458856204368914,0.9853028846948871
NSCG1RM,131,Rarefaction,1,8.736994021713327,7.232424078647933,10.241563964778722,0.968897034675064,0.9490741257172212,0.9887199436329069
NSCG1RM,141,Rarefaction,1,8.7887807601111,7.270813267185012,10.306748253037188,0.971553668004489,0.9514760557850307,0.9916312802239472
NSCG1RM,151,Rarefaction,1,8.834404794770201,7.3046063427766175,10.364203246763784,0.9736578673459149,0.9531841347234274,0.9941315999684023
NSCG1RM,156,Rarefaction,1,8.855255313972059,7.320042240129002,10.390468387815115,0.9745222929936306,0.9537946109775146,0.9952499750097465
NSCG1RM,157,Observed,1,8.859283766246532,7.3230240682310095,10.395543464262055,0.9746845713822062,0.9538632348627211,0.9955059079016914
NSCG1RM,1,Rarefaction,2,0.9999999999999996,0.9999999999999994,0.9999999999999997,0.16454352441604891,0.12828852130664742,0.2007985275254504
NSCG1RM,11,Rarefaction,2,4.158105939004822,3.6169595595465918,4.699252318463053,0.7000243290542363,0.6505509211234162,0.7494977369850564
NSCG1RM,21,Rarefaction,2,4.894111825828821,4.114144165566346,5.674079486091296,0.7974327892216819,0.7625730389273752,0.8322925395159887
NSCG1RM,31,Rarefaction,2,5.222103004291869,4.322005427788781,6.122200580794956,0.8441868740443894,0.8147704681321182,0.87360327995666065
NSCG1RM,41,Rarefaction,2,5.407728927471333,4.435867827048595,6.379590027894071,0.8761386158520901,0.8495417892301594,0.9027354424740207
NSCG1RM,51,Rarefaction,2,5.527151403589418,4.507669907123679,6.546632900055156,0.8998273796915532,0.8752517748417352,0.9244029845413713
NSCG1RM,61,Rarefaction,2,5.6104276508494415,4.557064089431954,6.663791212266929,0.9177165293279023,0.8947039219449248,0.9407291367108798
NSCG1RM,71,Rarefaction,2,5.67181139755767,4.593116809359966,6.750505985755375,0.9313501436800351,0.9095317032914072,0.953168584068663
NSCG1RM,81,Rarefaction,2,5.718932693749011,4.620587152993092,6.817278234504929,0.9418376340986324,0.9208980915237422,0.9627771766735226
NSCG1RM,91,Rarefaction,2,5.756244963738975,4.642212237752473,6.870277689725478,0.9499906286124953,0.9296628296706507,0.9703184275543398
NSCG1RM,101,Rarefaction,2,5.786522320885588,4.659677560502875,6.9133670812683015,0.9564017786418425,0.9364614570774937,0.9763421002061913
NSCG1RM,111,Rarefaction,2,5.81158292574476,4.674077633295417,6.949088218194104,0.9615006397821355,0.941758263169064,0.9812430163952071
NSCG1RM,121,Rarefaction,2,5.832668099478007,4.686154058885324,6.97918214007069,0.9655942525658893,0.9458856204368914,0.9853028846948871
NSCG1RM,131,Rarefaction,2,5.850654276502988,4.696427124233905,7.004881428772071,0.968897034675064,0.9490741257172212,0.9887199436329069
NSCG1RM,141,Rarefaction,2,5.866177899478866,4.705272609798472,7.02708318915926,0.971553668004489,0.9514760557850307,0.9916312802239472
NSCG1RM,151,Rarefaction,2,5.879712301587298,4.712968692235767,7.046455910938828,0.9736578673459149,0.9531841347234274,0.9941315999684023
NSCG1RM,156,Rarefaction,2,5.885849321103856,4.716453500715084,7.055245141492628,0.9745222929936306,0.9537946109775146,0.9952499750097465
NSCG1RM,157,Observed,2,5.887031287317889,4.7171243107072325,7.056938263928545,0.9746845713822062,0.9538632348627211,0.9955059079016914
x71LW75,1,Rarefaction,0,1.0000000000000002,0.9999999999999999,1.0000000000000004,0.0418719940809128,0.036175518436184925,0.047568469725640675
x71LW75,11,Rarefaction,0,9.190679785996334,9.019591559651783,9.361768012340885,0.3122413203936092,0.289134221915466,0.3353484188717524
x71LW75,21,Rarefaction,0,15.378610260438464,14.98136005579297,15.775860465083957,0.4520329140238407,0.42904198395484444,0.475023844092837
x71LW75,31,Rarefaction,0,20.429027285285457,19.820303897933563,21.03775067263735,0.5412855331239669,0.5193719224803367,0.563199143767597
x71LW75,41,Rarefaction,0,24.713213138267616,23.90800435023253,25.5184219263027,0.6051237047935007,0.584380838968755,0.6258665706182465
x71LW75,51,Rarefaction,0,28.433737629055916,27.44553140289081,29.42194385522102,0.653585769671664,0.6340127390840322,0.6731588002592959
x71LW75,61,Rarefaction,0,31.719142312252977,30.560428505121948,32.877856119384006,0.6917351518205412,0.6732471778639157,0.7102231257771667
x71LW75,71,Rarefaction,0,34.657947810704165,33.34005574901302,35.97583987239531,0.7225602588821066,0.7050333029120113,0.740087214852202
x71LW75,81,Rarefaction,0,37.31407883738793,35.84702583064135,38.781131844134514,0.7479881447411493,0.7312937870922376,0.764682502390061
x71LW75,91,Rarefaction,0,39.735225082430915,38.127723418049655,41.342726746812176,0.7693269757956653,0.7533494570578135,0.7853044945335171
x71LW75,101,Rarefaction,0,41.95788487381603,40.217455321161644,43.69831442647041,0.7874959206315428,0.7721375231502338,0.8028543181128519
x71LW75,111,Rarefaction,0,44.010600826497125,42.14372948350146,45.87747216949279,0.8031582277474419,0.7883389624977121,0.8179774929971718
x71LW75,121,Rarefaction,0,45.91611859201405,43.9284181502814,47.9038190337467,0.8168033342701345,0.8024584921644982,0.8311481763757709
x71LW75,131,Rarefaction,0,47.69286900489396,45.589225838185314,49.7965121716026,0.8287996479768196,0.8148769345146929,0.8427223614389463
x71LW75,141,Rarefaction,0,49.356009606775515,47.14071007888752,51.57130913466351,0.8394295013995501,0.8258864387944316,0.8529725640046686
x71LW75,151,Rarefaction,0,50.91817137784759,48.59500680962162,53.24133594607356,0.8489128527503518,0.8357146426388683,0.8621110628618353
