Assemblage,m,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
HGMH31MH,1,Rarefaction,0,1,0.9999999999999998,1.0000000000000002,0.07311739784052784,0.060625050866060765,0.08560974481499492
HGMH31MH,11,Rarefaction,0,7.996066461008237,7.648254213962918,8.343878708053555,0.4991150078673049,0.4551011513552874,0.5431288643793224
HGMH31MH,21,Rarefaction,0,12.140913241006068,11.389038286365313,12.892788195646823,0.666375690227645,0.6272988438705424,0.7054525365847476
HGMH31MH,31,Rarefaction,0,15.069143211107104,13.97819708132163,16.160089340892576,0.7479379369741417,0.7129795497609257,0.7828963241873577
HGMH31MH,41,Rarefaction,0,17.35791428276002,15.969739493749822,18.74608907177022,0.7953673720418472,0.7633239272851523,0.827410816798542
HGMH31MH,51,Rarefaction,0,19.255308270847827,17.596829732039932,20.913786809655722,0.8262889590274274,0.7964509643204383,0.8561269537344165
HGMH31MH,61,Rarefaction,0,20.888978524813066,18.979739934371832,22.7982171152543,0.8479891454150097,0.819827850398171,0.8761504404318484
HGMH31MH,71,Rarefaction,0,22.33310261231449,20.18810622778378,24.4780989968452,0.864061451532693,0.8371945073844883,0.8909283956808977
HGMH31MH,81,Rarefaction,0,23.634104272444052,21.265171452716714,26.00303709217139,0.8764961311135336,0.8506623343622461,0.9023299278648211
HGMH31MH,91,Rarefaction,0,24.822584882323152,22.23926186256616,27.405907902080145,0.8864683483213103,0.8614899919720047,0.9114467046706158
HGMH31MH,101,Rarefaction,0,25.919643760624172,23.129856443315582,28.709431077932763,0.8946994460209932,0.8704499231157486,0.9189489689262377
HGMH31MH,111,Rarefaction,0,26.940468930703744,23.95098134833457,29.92995651307292,0.9016468456670268,0.8780290175564701,0.9252646737775835
HGMH31MH,121,Rarefaction,0,27.89644644196125,24.71316764817353,31.079725235748967,0.9076109799818809,0.8845444845012853,0.9306774754624765
HGMH31MH,131,Rarefaction,0,28.796424220005083,25.42460701249008,32.16824142752009,0.9127972115780701,0.8902115541904426,0.9353828689656977
HGMH31MH,141,Rarefaction,0,29.64748382674699,26.091851082113784,33.20311657138019,0.9173520791233316,0.8951830493125669,0.9395211089340963
HGMH31MH,151,Rarefaction,0,30.455423390446573,26.720248065403396,34.19059871548975,0.9213846510529647,0.899572516227603,0.9431967858783264
HGMH31MH,161,Rarefaction,0,31.225069889063423,27.314226222453698,35.13591355567315,0.9249792022313826,0.9034677917340944,0.9464906127286709
HGMH31MH,171,Rarefaction,0,31.9604896728841,27.877486797062424,36.04349254870578,0.9282028317703281,0.9069390279106718,0.9494666356299845
HGMH31MH,181,Rarefaction,0,32.66513738540675,28.41314224992099,36.91713252089251,0.9311101321250428,0.9100435160533199,0.9521767481967657
HGMH31MH,191,Rarefaction,0,33.341966686670254,28.923820409371316,37.76011296396919,0.9337461401612424,0.912828668561389,0.9546636117610957
HGMH31MH,201,Rarefaction,0,33.99351641263884,29.411746422950905,38.575286402326775,0.9361482876469605,0.9153339464031951,0.9569626288907258
HGMH31MH,211,Rarefaction,0,34.621980110846394,29.878809375299046,39.365150846393746,0.9383477688878905,0.9175921874621619,0.9591033503136192
HGMH31MH,221,Rarefaction,0,35.2292635802118,30.32661755469367,40.13190960572993,0.940370568235035,0.9196305973885437,0.9611105390815262
HGMH31MH,231,Rarefaction,0,35.81703311923697,30.75654469449174,40.87752154398219,0.9422382884259941,0.9214715518772764,0.9630050249747119
HGMH31MH,241,Rarefaction,0,36.386756067913126,31.169768560585062,41.60374357524119,0.9439688620755293,0.9231332942431931,0.9648044299078655
HGMH31MH,251,Rarefaction,0,36.939734571359836,31.56730269524183,42.31216644747784,0.9455771952383174,0.9246305751321207,0.9665238153445141
HGMH31MH,261,Rarefaction,0,37.47713309798108,31.95002178533013,43.00424441063203,0.9470757730061946,0.9259752602706375,0.9681762857417517
HGMH31MH,270,Rarefaction,0,37.948339483394825,32.28242841063438,43.61425055615527,0.948339483394834,0.9270629554455903,0.9696160113440777
HGMH31MH,271,Observed,0,38,32.3186809021912,43.6813190978088,0.9484757908265098,0.9271780129548731,0.9697735686981465
HGMH31MH,1,Rarefaction,1,1,1,1,0.07311739784052784,0.060625050866060765,0.08560974481499492
HGMH31MH,11,Rarefaction,1,7.205010845905104,6.798062763903998,7.61195892790621,0.4991150078673049,0.4551011513552874,0.5431288643793224
HGMH31MH,21,Rarefaction,1,10.219998988052234,9.40112191378902,11.038876062315449,0.666375690227645,0.6272988438705424,0.7054525365847476
HGMH31MH,31,Rarefaction,1,12.031358379556822,10.915944233296019,13.146772525817626,0.7479379369741417,0.7129795497609257,0.7828963241873577
HGMH31MH,41,Rarefaction,1,13.260686840404057,11.92646516754517,14.594908513262945,0.7953673720418472,0.7633239272851523,0.827410816798542
HGMH31MH,51,Rarefaction,1,14.160634490834743,12.657607723248663,15.663661258420824,0.8262889590274274,0.7964509643204383,0.8561269537344165
HGMH31MH,61,Rarefaction,1,14.854059674991092,13.21597292023454,16.492146429747645,0.8479891454150097,0.819827850398171,0.8761504404318484
HGMH31MH,71,Rarefaction,1,15.408449211905628,13.65923100042394,17.157667423387316,0.864061451532693,0.8371945073844883,0.8909283956808977
HGMH31MH,81,Rarefaction,1,15.864184327277858,14.02150418414514,17.706864470410576,0.8764961311135336,0.8506623343622461,0.9023299278648211
HGMH31MH,91,Rarefaction,1,16.247013614274344,14.324351150980618,18.16967607756807,0.8864683483213103,0.8614899919720047,0.9114467046706158
