AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM
0,,,,,,,,,
0.766871668716687,0,,,,,,,,
0.742253521126761,0.790593004521594,0,,,,,,,
0.664619883040936,0.631018968084418,0.72217692117618,0,,,,,,
0.734224318658281,0.537481723873843,0.778992824873771,0.514448857994042,0,,,,,
0.870588235294118,0.653418710657695,0.916321458160729,0.876264189886481,0.908879023307436,0,,,,
0.812772240679217,0.69364929529694,0.775742829067428,0.706300635309203,0.751155477548633,0.728766855579441,0,,,
0.868917018284107,0.83875005838666,0.897842752718845,0.83377748167888,0.870324814903272,0.766418466120625,0.440074575605927,0,,
0.490788072417465,0.763035969017837,0.692678756243532,0.645075948657586,0.775613358249443,0.792896072166886,0.660305194966017,0.759671614025155,0,
0.856572769953051,0.835992585277966,0.858450704225352,0.819804793674327,0.838823190716627,0.742723004694836,0.485970084070313,0.568437629999405,0.727639532616358,0
