AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
0,,,,,,,,,
0.781631816318163,0,,,,,,,,
0.74045584045584,0.817800485697165,0,,,,,,,
0.666141732283465,0.686127333714282,0.726338694842631,0,,,,,,
0.734224318658281,0.555072060154564,0.797266569908079,0.59285230855577,0,,,,,
0.850164001640016,0.915129151291513,0.943671744409752,0.87922312293989,0.902889368516326,0,,,,
0.819767441860465,0.877456448983095,0.952892069171139,0.85094305072331,0.861201306615962,0.329366782039913,0,,,
0.973003443296679,0.967295034496496,0.998667110963012,0.970796844329814,0.985701778652399,0.950868775598786,0.945836314682359,0,,
0.888903965023368,0.83644925323066,0.759437080332603,0.834636172513714,0.903107319321062,0.657192067171689,0.649046872753919,0.981291627349906,0,
0.980551053484603,0.927616666766343,0.971219068463801,0.880338499016634,0.917379437937678,0.84092173174568,0.835433601782401,0.864284568568986,0.855189574449837,0
