NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
0,,,,,,,,,
0.728766855579441,0,,,,,,,,
0.766418466120625,0.440074575605927,0,,,,,,,
0.792896072166886,0.660305194966017,0.759671614025155,0,,,,,,
0.742723004694836,0.485970084070313,0.568437629999405,0.727639532616358,0,,,,,
0.788766192397537,0.599957622205964,0.587798747886487,0.800002306778468,0.716246334807885,0,,,,
0.784808975136446,0.624521925768629,0.543201096176432,0.829625177036329,0.731619960311699,0.321960251591053,0,,,
0.983472271143986,0.904175038627065,0.891838264399471,0.967191283035633,0.892852792068445,0.950444478071535,0.945617356352587,0,,
0.8803896732854,0.615188131602701,0.576553017852991,0.847173464824868,0.629154810645592,0.63646277976053,0.625534561219093,0.972676770166654,0,
0.933189861310378,0.700429462766388,0.735597406606977,0.917758902828645,0.744566586510936,0.757424202400869,0.761461738328724,0.857189685669312,0.746955209894087,0
