Assemblage,m,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
NSCG1RM,1,Rarefaction,0,0.9999999999999998,0.9999999999999996,1,0.17097111033769163,0.13700587141849946,0.2049363492568838
NSCG1RM,11,Rarefaction,0,5.817574753276851,5.2652781469697505,6.369871359583952,0.7256750113500219,0.6759911355749341,0.7753588871251097
NSCG1RM,21,Rarefaction,0,8.07599978559642,7.1390066464989985,9.01299292469384,0.8153875607646618,0.779374460718471,0.8514006608108525
NSCG1RM,31,Rarefaction,0,9.720101929109866,8.504792116718283,10.935411741501449,0.8565436316358661,0.8253003061341271,0.8877869571376051
NSCG1RM,41,Rarefaction,0,11.023947545588443,9.574453890910403,12.473441200266484,0.8838886302191685,0.855087303137767,0.91268995730057
NSCG1RM,51,Rarefaction,0,12.090339926825257,10.429206577260716,13.751473276389797,0.9038713863236165,0.8767775834104744,0.9309651892367586
NSCG1RM,61,Rarefaction,0,12.980310269809554,11.121249918969546,14.83937062064956,0.9189730917164715,0.8932592393878194,0.9446869440451235
NSCG1RM,71,Rarefaction,0,13.7358979790789,11.68865791168754,15.783138046470258,0.9305775462305668,0.9060351566505432,0.9551199358105903
NSCG1RM,81,Rarefaction,0,14.387727583577563,12.160113578871524,16.615341588283602,0.9395883975811458,0.9160440019900626,0.9631327931722289
NSCG1RM,91,Rarefaction,0,14.9586983101389,12.557416389682189,17.35998023059561,0.9466430775719095,0.923932531365511,0.9693536237783079
NSCG1RM,101,Rarefaction,0,15.466140333054364,12.897116653501449,18.03516401260728,0.9522129133584897,0.9301743603539067,0.9742514663630727
NSCG1RM,111,Rarefaction,0,15.923213223937411,13.191684382426935,18.654742065447888,0.9566555523512774,0.9351281450160924,0.9781829596864624
NSCG1RM,121,Rarefaction,0,16.339899483988965,13.450406711658347,19.229392256319585,0.9602438448273043,0.9390680132065968,0.9814196764480118
NSCG1RM,131,Rarefaction,0,16.7237677805404,13.680114434599,19.7674211264818,0.9631833084064174,0.9422012419294883,0.9841653748833465
NSCG1RM,141,Rarefaction,0,17.080587803133174,13.885784601717969,20.27539100454838,0.965624566496438,0.9446804538905529,0.9865686791023232
