AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
0,,,,,,,,,,,,,,
0.781631816318163,0,,,,,,,,,,,,,
0.74045584045584,0.817800485697165,0,,,,,,,,,,,,
0.666141732283465,0.686127333714282,0.726338694842631,0,,,,,,,,,,,
0.734224318658281,0.555072060154564,0.797266569908079,0.59285230855577,0,,,,,,,,,,
0.968152866242038,0.74653912144217,0.964469123704793,0.948030381552624,0.96768116812883,0,,,,,,,,,
0.881218399309409,0.721232251168239,0.858817837730157,0.812791852738718,0.814622641509434,0.789271651455919,0,,,,,,,,
0.95843203609701,0.874735422481128,0.951776649746193,0.897013825048519,0.914984196916004,0.875634517766497,0.48790120396401,0,,,,,,,
0.896062992125984,0.84326059796031,0.8474998317518,0.81846019247594,0.840651463378398,0.894503234866342,0.770840798063394,0.896039010352132,0,,,,,,
0.963465510119785,0.867684513276359,0.93110496827969,0.91434527933079,0.937649341843773,0.867062881317137,0.558425376182597,0.598987916643078,0.893056815853409,0,,,,,
0.850164001640016,0.915129151291513,0.943671744409752,0.87922312293989,0.902889368516326,0.895715326580017,0.631000405453555,0.643396332440481,0.940712438620449,0.741509942980471,0,,,,
0.819767441860465,0.877456448983095,0.952892069171139,0.85094305072331,0.861201306615962,0.887210125248934,0.644715747934394,0.619591022967247,0.945614356344992,0.757278848832407,0.329366782039913,0,,,
0.973003443296679,0.967295034496496,0.998667110963012,0.970796844329814,0.985701778652399,0.990964795174432,0.928062824785375,0.8944565009633,0.971712841126449,0.894973464029132,0.950868775598786,0.945836314682359,0,,
0.888903965023368,0.83644925323066,0.759437080332603,0.834636172513714,0.903107319321062,0.902457890051768,0.658567971363041,0.666031861917913,0.885613094156989,0.694412358619205,0.657192067171689,0.649046872753919,0.981291627349906,0,
0.980551053484603,0.927616666766343,0.971219068463801,0.880338499016634,0.917379437937678,0.959822027686876,0.803905978770212,0.82126138429769,0.962952564478873,0.870442782862272,0.84092173174568,0.835433601782401,0.864284568568986,0.855189574449837,0
